text,label
advertencia metro paris sobre avc criancas novidade pos vacinas covid acidente vascular cerebral criancas sinais mesmos adultos paralisia lado corpo deformidade facial disturbios fala cada minuto conta talvez avc,fake
existe agora resolucao isentando deputados senadores ministros stf tomar vacina resolucao 748 artigo 99 olhada la absurdo ai fazendo propaganda filhos tomarem veneno,fake
atencao limao testa positivo covid turma vacinalovers querem faturar tanta vacina teste identificar possivel contaminado covid verdade pode dar positivo limao muita patifaria,fake
porque proteina spike sintetica perdoa modus operandi fazer lesao faz lesao parede vascular faz lesao inflamatoria desencadeia processo inflamatorio exuberante independente condicoes pessoa nutricionais geneticas afins conta chega conta vem sequela dano corporal perda movimentos lesoes neurologicas doencas autoimunes agora suspeita tumores morte entao enfrentar situacao fazer plano contingencia pra tratar vacinados ponto fundamental grupos medicos discutindo todas pessoas vacinadas precisam fazer exame dimerod minimo detectar risco trombose micro trombose acontecendo dimerod vai apontar entao estimulando pessoas vacinadas passem monitorar regularmente vez semana vez cada dez dias medicao dimero d infelizmente pessoas pais levando filhos corredor morte,fake
oi pessoal bom dia nome monica travassos doutora biologia formada pos graduada doutorada biologia venho atraves desse audio rapido dar noticia triste todos estados brasileiros fazem litoral pais paulo rio janeiro rio grande sul santa catarina espirito santo todos estados nordeste norte confirmados casos nova omicron nova variante covid19 variante mortal mata tanto quanto covid19 ainda vacina parece brincadeira pais cercado casos omicron tendencia novo variante desca centrooeste pais entao pessoal fica dica banheiro abra portas banheiro locais publicos maos empurre portas pes abra torneiras maos use cotovelos fechar torneiras abrir dar descarga use joelho pe cotovelo descarga antiga daquela cordinha pega pedaco papel higienico pegue cordinha descarga saia banheiro use mascara previna use alcool 70 dentro carro casa ta bom proteja proteja familia fiquem aglomerados festas final ano chegando amor deus gente evitem ficar proximos pessoas ama porque nova variante covid19 tao mortal quanto covid19 ainda vacinas melhor remedio prevencao entao vamos manter distantes acreditem aqui pra fazer alarmes colocar medo ninguem bom divulguem audio todas pessoas grupos facebook instagram tiktok rede frequentada hoje dia ta bom obrigado atencao bom dia,fake
tedros adhanom ghebreyesus atual diretor organizacao mundial saude oms preso interpol preso crimes contra humanidade genocidio ocorre agencias policiais todo mundo comecaram visar politicos empresarios lideres corporativos papel plandemia empurrar vacinas desnecessarias mortais populacao humana interpol emitiu recentemente mandado prisao ghebreyesus,fake
diretor geral oms tedros adhanom diz vacinou porque esperando paises pobres demais paises serem vacinados primeiro diz ato protestando querem vacina covid19 povo tao ta ne,fake
testes pcr covid19 estudos universidade johns hopkins introduzir pulmoes intestinos vermes parasitas robos chamados theragrippers responsaveis carregar drogas entorpecer pacientes,fake
bolsas sangue vacinado versus sangue vacinado choca pouco saber cobicada nanotecnologia vacina modificando criacao deus oxido grafeno aparentemente tomou conta sangue transformandoo especie gosma preta,fake
comparacao relatorios oficiais governo sugere totalmente vacinados desenvolvendo sindrome imunodeficiencia adquirida rapido previsto,fake
presidente oms recomenda carnaval 2022 agora ficam politicos juizes midia empresarios mortadelas afirmaram crime genocidio seguir determinado oms,fake
eslovenia escandalizada ontem estourou grande escandalo eslovenia chefe enfermagem university medical center centro clinico ljubljana encarrega receber frascos administrar tudo pediu demissao saiu frente cameras mostrou frascos vacinas mostrou pessoas codigos frascos onde cada contem 1 2 3 digitos codigo seguida explicou significado desses numeros n 1 placebo soro n 2 frasco classico rna n 3 bastao rna contem gene onc ligado adenovirus contribui desenvolvimento cancer frascos n 3 diz pessoas receberam dentro 2 anos cancer tecidos moles diz testemunhou pessoalmente inoculacao todos politicos magnatas todos receberam placebo queremos fim obrigatoriedade vacinas morte precisamos destituir poder ditadores,fake
ai galera bem hospital aqui saindo sala emergencia 26 anos infarto historico familiar fatores risco unico fator risco duas az pf reforco infartada aqui ai epidemia preparem,fake
ola medico sanitarista especialidade saude publica resolvi fazer alerta emitir alerta sobre situacao grave acontecendo noticia falsa covid voltando existe ai variante chamada omicron b b etc tal grande mentira quero deixar pessoas tranquilas clientes perguntado sobre questao nova covid existe trabalho dois hospitais prontosocorro ainda trabalho clinica popular onde atendo cerca 100 pessoas semana entao existindo acalmemse transmitam mensagem puderem todas redes todos contatos ta existindo nada inclusive crime grande crime sendo colocado forma gravissima mata tanto vacinados quanto vacinados serio inclusive colocando deve retornar uso mascaras confinamento social etc tal acabou situacao acabou acabada acabou terror existe nenhuma onda novo covid noticia realmente completamente falsa entao fiquem calmos fiquem tranquilos especialista nessa area digo existe grande mentira passem adiante obrigado,fake
engane reacoes adversas raras fabio rodrigues 25 anos tomou dose reforco 14/12/2021 31/12 apenas 16 dias sofreu infarto precisou realizar cateterismo colocar 2 stents continuava internado programada ainda nova intervencao repito 25 anos apenas 2 semanas apos receber dose reforco vacina fabio fisioterapeuta especialista fisioterapia cardiorrespiratoria trabalha incor paulo justamente uti especializada doencas cardiacas respiratorias,fake
material genetico coletado mercado chines proximo local onde primeiros casos covid19 identificados mostraram dna especie guaxinim canideo originario japao chamado caoguaxinim misturado virus cientistas agora investigam possibilidade haver relacao achado origem pandemia centro chines controle doencas colocou recentemente dados geneticos ligam coronavirus caoguaxinim maior banco dados publico virus mundo removeu logo seguida codigo genetico coronavirus bastante semelhante coronavirus advindo morcego muitos cientistas suspeitam saltou humanos diretamente morcego meio animal intermediario pangolins furoes caesguaxinim ideia dimensao deste trabalho especialistas virus levaram doze anos identificar origem animal sars virus relacionado,true
estudo unicamp analisou 3318 videos 50 canais brasileiros youtube aponta produtores conteudo espalham informacoes falsas sobre covid19 driblam politicas moderacao plataforma lucrar monetizacao anuncios alem disso destacamos argumento mantemos ar conteudo polemico porque traz beneficios financeiros verdadeiro alem sabermos tipo conteudo bom desempenho youtube sobretudo comparado conteudos populares musica humor desinformacao corroi confianca publico anunciantes dedicamos tempo recursos consideraveis questao,true
enquanto cidades brasileiras enfrentam falta coronavac imunizante aprovado agencia nacional vigilancia sanitaria anvisa julho 2022 faixa etaria 3 5 anos combate covid19 instituto butantan responsavel producao nacional vacina parceria farmaceutica chinesa sinovac possui estoque dois milhoes doses vencem meados 2023 adquiridas ministerio saude segundo pediatra postura equivoco vem repetindo desde vacinacao adolescentes aponta naquela fase barreiras colocadas tentar evitar vacinacao convocacao audiencia publica tentativa exigencia prescricao medica demora compra aquisicao vacinas,true
politica chinesa covid zero alvo protestos pais noite sabado 27 cerca 300 manifestantes ruas xangai cidade populosa china principal centro economico pais alegar lockdown adotado governo pode aumentado numero mortes incendio nesta semana sabado autoridades informaram restricoes urumqi korla flexibilizadas decisao servicos sido interrompidos taxis trens onibus retomados,true
presidente lula ministra saude nisia trindade lancaram brasilia movimento nacional vacinacao objetivo aumentar indices vacinacao sus cerimonia presidente lula tomou dose reforco contra covid19 aplicada vicepresidente geraldo alckmin medico leia reportagem,true
agencia nacional vigilancia sanitaria anvisa informou nesta tercafeira 7 suspendeu temporariamente autorizacao uso emergencial medicamento evusheld tixagevimabe cilgavimabe usado tratar covid19 agencia ressalta ainda caso existam lotes medicamento territorio brasileiro empresa detentora autorizacao deve fazer devida comunicacao profissionais saude quanto ineficacia medicamento contra variantes circulacao sarscov2,true
relatorio inteligencia departamento energia eua afirma virus covid19 provavelmente surgiu vazamento laboratorio chines segundo reportagem the wall street journal publicada neste domingo 26 conclusao documento considerada baixa confianca proprio departamento relevante porque agencia supervisiona rede laboratorios nacionais eua alguns quais conduzem pesquisas biologicas avancadas fbi concluido 2021 pandemia provavelmente resultado vazamento laboratorio china outras quatro agencias painel nacional inteligencia ainda julgam resultado transmissao natural inicialmente visao predominante virus originado naturalmente pulando animais humanos ocorrido outras pandemias entanto passar tempo falta identificacao hospedeiro animal atencao voltou possibilidade vazamento acidental laboratorio wuhan onde estudos sobre coronavirus realizados,true
problemas neurologicos complicacoes frequentes ccovid19 sistema pulmonar afetam 30 pacientes perda memoria falta concentracao atencao raciocinio lento sonolencia fadiga excessiva ansiedade depressao dificuldades linguagem outros prejuizos cognitivos cerebrais podem efeitos doenca despertou interesse particular fato pacientes apresentarem perda olfato mecanismo mediado cerebro fez pensar poderia alguma implicacao cerebral conta martinsdesouza martinsdesouza,true
ministro alexandre moraes supremo tribunal federal stf determinou nesta sextafeira 19 procuradoriageral republica pgr manifeste sobre pedido policia federal indiciar presidente jair bolsonaro incitacao crime associar vacina contra covid19 risco desenvolver aids relatorio investigadores detalharam esquema propagacao informacoes falsas segundo pf procedimento seguido bolsonaro semelhante modelo disseminacao fake news alastrado mundo prejudicando instituicoes estado,true
quase 37 milhoes pessoas china podem sido infectadas sarscov2 virus causador covid19 unico dia nesta semana estudos cientificos mostraram idosos chineses gostam vacinar porque seguem medicina tradicional chinesa inclui vacina ponto importante outra cultura,true
estudo feito instituto todos saude itps conjunto hospital israelita albert einstein demonstrou protecao contra covid longa ocorre somente quarta dose vacina pessoas tomaram tres doses protegidas contra agravamento doenca aguda morte contra forma prolongada,true
procuradoriageral republica afirmou supremo tribunal federal indicios minimos presidente jair bolsonaro subtraiu ocultou inutilizou impediu obstaculizou meios combater coronavirus vacinas exemplo grupo afirma presidente cometeu nove crimes gestao pandemia covid perigo vida saude outrem subtracao ocultacao inutilizacao material salvamento epidemia resultado morte infracao medida sanitaria preventiva charlatanismo incitacao crime falsificacao documento particular emprego irregular verbas publicas prevaricacao agir omitir funcionario publico contrariando lei obter vantagem pessoal,true
expectativa vida estados unidos caiu quase ano durante 2021 registrar queda quase 15 ano 2020 particularmente causa pandemia covid19 anunciaram autoridades saude pais expectativa 761 anos ano passado acordo numeros preliminares centros controle prevencao doencas cdc menor resultado desde 1996,true
parque tematico disneyland fechou portas nesta segundafeira 31 shanghai devido confinamento emergencia decretado autoridades chinesas turistas poderao sair local testado negativo covid19 publico permanecer dentro parque tematico testes anticoronavirus realizados local negativos anunciaram nesta segundafeira autoridades comunicado online,true
testes iniciais fase 1 vacina intranasal contra covid19 desenvolvida astrazeneca oxford apontaram imunizante atingiu protecao desejada estudo utilizou vetor adenovirus licenciado uso injecao alem disso spray nasal beneficio evitar uso agulhas muitos pais sabem sprays nasais usados vacinas contra gripe oferecidas criancas idade escolar alguns paises incluindo reino unido acrescentou,true
